Region,Sub-Region,Transmission Station,Sub-Station
Port Harcourt,Port Harcourt Sub-region,Onne 330KV T/S,Omoku 132KV T/S
Port Harcourt,Port Harcourt Sub-region,Onne 330KV T/S,Oproma 132KV T/S
Port Harcourt,Afam Sub-region,Afam IV 330KV T/S,Afam I-III
Port Harcourt,Afam Sub-region,Afam V 330KV T/S,Afam IPP
Port Harcourt,Aba Sub-region,Alaoji NIPP 330KV T/S,Alaoji 132KV T/S
Port Harcourt,Aba Sub-region,Alaoji 330KV T/S,Aba 132KV T/S
Port Harcourt,Aba Sub-region,Alaoji 330KV T/S,Umuahia 132KV T/S
Port Harcourt,Aba Sub-region,Alaoji 330KV T/S,Mbalano 132KV T/S
Port Harcourt,Aba Sub-region,Alaoji 330KV T/S,Ohufa 132KV T/S
Port Harcourt,Aba Sub-region,Alaoji 330KV T/S,Arochukwu 132KV T/S
Port Harcourt,Owerri  WC,Owerri 330KV T/S,Owerri 132KV T/S
Port Harcourt,Owerri  WC,Owerri 330KV T/S,FUTO 132KV T/S
Port Harcourt,Owerri  WC,Egbema 330KV T/S,Orlu 132KV T/S
Port Harcourt,Owerri  WC,Egbema 330KV T/S,Okigwe 132KV T/S
Port Harcourt,Owerri  WC,Egbema 330KV T/S,Mbaise 132KV T/S
Port Harcourt,Owerri  WC,Egbema 330KV T/S,Egbema 132KV T/S
Port Harcourt,Calabar Sub-region,Adiabor 330KV T/S,Calabar 132KV T/S
Port Harcourt,Calabar Sub-region,Odukpani 330KV T/S,Adiabo 132KV T/S
Port Harcourt,Calabar Sub-region,Odukpani 330KV T/S,Odukpani 132KV T/S
Port Harcourt,Uyo WC,Ikot Ekpene 330KV S/S,Itu 132KV T/S
Port Harcourt,Uyo WC,Ikot Abasi 330KV T/S,Uyo 132KV T/S
Port Harcourt,Uyo WC,Ikot Abasi 330KV T/S,Eket 132KV T/S
Port Harcourt,Uyo WC,Ikot Abasi 330KV T/S,Ekim  132KV T/S
Port Harcourt,Uyo WC,Ikot Abasi 330KV T/S,Ibom PS 132/33KV T/S
Port Harcourt,Uyo WC,Ikot Abasi 330KV T/S,Ikot Ekpene 132KV T/S
,,,
Shiroro,Shiroro Sub-region,Shiroro 330/132/33KV T/S,Shiroro 132/33kV S/S
Shiroro,Shiroro Sub-region,Shiroro 330/132/33KV T/S,Shiroro II 132/33kV S/S
Shiroro,Shiroro Sub-region,Shiroro 330/132/33KV T/S,Minna 132/33kV S/S
Shiroro,Shiroro Sub-region,Mararaba 330kV Switching Station,Mararaba 132/33kV S/S
Shiroro,Shiroro Sub-region,Zungeru 330/33kV T/S,Zungeru 132/33kV S/S
Shiroro,Jebba Sub-region,Jebba 330/132/33KV T/S,Jebba 132/33kV S/S
Shiroro,Jebba Sub-region,Jebba 330/132/33KV T/S,Bida 132/33kV S/S
Shiroro,Jebba Sub-region,Jebba 330/132/33KV T/S,Jebba 132/33kV Mobile S/S
Shiroro,Kontagora W/C,Jebba 330/132/33KV T/S,Kontagora 132/33kV S/S
Shiroro,Kontagora W/C,Jebba 330/132/33KV T/S,Yauri132/33kV S/S
Shiroro,Kontagora W/C,Jebba 330/132/33KV T/S,Tegina 132/33kV S/S
Shiroro,Kainji W/C,Kainji 330KV T/S,Fakum 330kV S/S
Shiroro,Kainji W/C,Kainji 330KV T/S,Dogongeri 132/33kV S/S
